STPUMA	SERIALNO	SPORDER	ADJINC	PWGTP	SEX	RACE	AGE	COW	JWMNP	JWRIP	JWTR	MAR	REL	RETP	SCH	SCHG	SCHL	WAGP	WKHP	WKL	ESR	HISP	INDP	JWAP	JWDP	MSP	PAOC	OCCP	PINCP	POVPIP	POWPUMA	TYPE	IN_CMA
1703102	7170001390	1	1051849	33	2	1	36	1	0	0	0	5	0	0	1	0	11	30200	40	1	2	1	1870	0	0	6	3	9620	30200	212	0	1	1
1703102	7170001390	2	1051849	41	1	1	15	0	0	0	0	5	2	0	2	5	5	0	0	0	0	1	0	0	0	6	0	0	0	212	0	1	1
1703102	7170001390	3	1051849	36	2	1	9	0	0	0	0	5	2	0	2	3	2	0	0	0	0	1	0	0	0	0	0	0	0	212	0	1	1
1703102	7170001390	4	1051849	34	1	1	2	0	0	0	0	5	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	212	0	1	1
1703102	7170001390	5	1051849	53	2	1	58	1	0	0	0	3	4	0	1	0	12	15100	32	1	2	1	8680	0	0	4	4	4720	21100	212	0	1	1
1703102	7170001390	6	1051849	48	1	2	42	1	0	0	0	3	10	0	1	0	10	480	24	1	3	1	8590	0	0	4	0	4720	480	4	0	1	1
1703102	7170012678	1	1051849	100	2	1	25	1	45	1	1	5	0	0	1	0	13	40000	45	1	1	1	5170	91	43	6	4	4700	44800	501	3490	1	1
1703102	7170012678	2	1051849	131	1	1	22	1	60	1	1	5	3	0	2	6	11	30000	60	1	1	1	770	190	109	6	0	6200	30000	501	3490	1	1
1703102	7170013100	1	1051849	30	2	8	44	1	60	1	1	5	0	0	1	0	13	100000	50	1	1	2	7690	94	43	6	4	1760	100000	501	3000	1	1
1703102	7170013846	1	1051849	9	1	1	59	1	40	1	1	1	0	0	1	0	11	71000	50	1	1	1	3170	75	28	1	0	7700	71000	501	2300	1	1
1703102	7170013846	2	1051849	9	2	1	59	0	0	0	0	1	1	0	1	0	9	0	0	3	6	1	0	0	0	1	4	0	0	501	0	1	1
1703102	7170023340	1	1051849	26	2	1	93	0	0	0	0	2	0	0	1	0	8	0	0	3	6	1	0	0	0	3	4	0	0	0	0	1	1
1703102	7170023798	1	1051849	41	1	1	50	1	30	1	1	1	0	0	1	0	11	65000	45	1	1	1	2280	1	150	1	0	1920	65200	501	3100	1	1
1703102	7170023798	2	1051849	41	2	1	51	1	15	1	1	1	1	0	1	0	9	47000	45	1	1	1	6870	94	52	1	4	5000	47020	501	3100	1	1
1703102	7170023798	3	1051849	54	2	1	19	1	0	0	0	5	2	0	3	6	11	6000	20	1	3	1	8680	0	0	6	4	4110	6000	501	0	1	1
1703102	7170026629	1	1051849	24	2	1	56	0	0	0	0	1	0	0	1	0	12	0	0	3	6	1	0	0	0	1	4	0	0	249	0	1	1
1703102	7170026629	2	1051849	28	1	1	57	7	10	1	1	1	1	13000	1	0	10	21000	30	1	1	1	770	96	55	1	0	10	34000	249	3100	1	1
1703102	7170027916	1	1051849	36	2	2	80	4	0	0	0	3	0	6800	1	0	9	0	0	2	6	1	7860	0	0	4	4	5700	17000	137	0	1	1
1703102	7170027916	2	1051849	30	2	2	27	0	0	0	0	5	5	0	1	0	12	0	0	3	6	1	0	0	0	6	4	0	0	137	0	1	1
1703102	7170032025	1	1051849	34	1	1	87	0	0	0	0	1	0	12000	1	0	9	0	0	3	6	1	0	0	0	1	0	0	24000	232	0	1	1
1703102	7170032025	2	1051849	34	2	1	87	0	0	0	0	1	1	0	1	0	6	0	0	3	6	1	0	0	0	1	4	0	6000	232	0	1	1
1703102	7170032025	3	1051849	73	2	1	57	0	0	0	0	5	2	0	1	0	12	0	0	3	6	1	0	0	0	6	4	0	10000	232	0	1	1
1703102	7170032025	4	1051849	62	2	1	82	0	0	0	0	5	6	0	1	0	1	0	0	3	6	1	0	0	0	6	4	0	9000	232	0	1	1
1703102	7170035256	1	1051849	22	1	1	36	1	10	0	5	3	0	0	1	0	12	35000	43	1	1	1	1990	78	37	4	0	8260	35000	248	3500	1	1
1703102	7170035256	2	1051849	21	2	1	12	0	0	0	0	5	2	0	2	4	4	0	0	0	0	1	0	0	0	0	0	0	0	248	0	1	1
1703102	7170038552	1	1051849	34	1	1	43	1	45	1	1	5	0	0	1	0	11	45000	45	1	1	1	4470	259	137	6	0	9130	45000	420	3500	1	1
1703102	7170041263	1	1051849	22	2	2	54	1	0	0	0	5	0	0	1	0	14	0	0	2	6	1	6170	0	0	6	4	9130	14000	131	0	1	1
1703102	7170047906	1	1051849	45	2	1	25	4	0	0	0	5	0	0	1	0	14	4500	40	1	3	1	7860	0	0	6	4	2320	4500	42	0	1	1
1703102	7170049950	1	1051849	30	2	8	24	1	15	1	1	1	0	0	1	0	9	12000	40	1	1	2	6870	93	51	1	4	120	12000	448	3100	1	1
1703102	7170049950	2	1051849	32	1	8	28	1	10	1	1	1	1	0	1	0	9	50000	45	1	1	2	2570	57	17	1	0	9620	50000	448	3100	1	1
1703102	7170052815	1	1051849	22	1	8	49	1	50	5	1	1	0	0	1	0	5	52000	40	1	1	2	770	68	19	1	0	6330	52000	381	3500	1	1
1703102	7170052815	2	1051849	24	2	8	46	1	45	4	1	1	1	0	1	0	7	16000	40	1	1	2	1080	79	31	1	2	9640	16200	381	3000	1	1
1703102	7170052815	3	1051849	24	1	8	19	1	15	1	1	5	2	0	1	0	9	13000	38	1	1	2	4880	97	55	6	0	4760	13000	381	3100	1	1
1703102	7170052815	4	1051849	28	1	8	8	0	0	0	0	5	2	0	2	3	2	0	0	0	0	2	0	0	0	0	0	0	0	381	0	1	1
1703102	7170056160	1	1051849	32	1	1	47	1	75	1	1	1	0	0	1	0	14	130000	55	1	1	1	570	91	37	1	0	1430	130300	501	3200	1	1
1703102	7170056160	2	1051849	36	2	1	47	3	10	1	1	1	1	0	1	0	13	20000	35	1	1	1	7860	99	58	1	2	2310	20000	501	3100	1	1
1703102	7170056160	3	1051849	45	2	1	21	1	15	1	1	5	2	0	2	6	9	3000	20	1	1	1	6470	145	91	6	4	2830	3000	501	600	1	1
1703102	7170056160	4	1051849	41	2	1	19	1	15	0	10	5	2	0	2	6	9	18900	25	1	1	1	5170	181	109	6	4	4720	18900	501	2100	1	1
1703102	7170056160	5	1051849	43	2	1	16	1	10	1	1	5	2	0	2	5	6	1000	10	1	1	1	5380	144	91	6	4	4720	1000	501	3100	1	1
1703102	7170059213	1	1051849	48	1	1	50	1	0	0	0	3	0	0	1	0	3	2000	15	1	6	1	6190	0	0	4	0	9140	2000	19	0	1	1
1703102	7170059213	2	1051849	85	2	1	44	1	10	1	1	5	8	0	1	0	9	12000	40	1	1	1	6290	60	19	6	4	5700	12000	114	3100	1	1
1703102	7170067572	1	1051849	24	1	8	45	1	120	1	1	1	0	0	1	0	9	38100	50	1	1	2	3980	82	19	2	0	8810	40600	250	3490	1	1
1703102	7170067572	2	1051849	31	2	8	23	0	0	0	0	5	2	0	1	0	9	0	0	3	6	2	0	0	0	6	4	0	0	250	0	1	1
1703102	7170067572	3	1051849	25	2	8	17	0	0	0	0	5	2	0	2	5	6	0	0	3	6	2	0	0	0	6	4	0	0	250	0	1	1
1703102	7170076067	1	1051849	23	2	1	36	1	15	1	1	1	0	0	1	0	9	29700	38	1	1	1	6870	97	55	1	4	120	29700	393	3100	1	1
1703102	7170076067	2	1051849	26	1	1	36	4	0	0	0	1	1	0	1	0	9	23700	40	1	2	1	8570	0	0	1	0	4250	23700	393	0	1	1
1703102	7170077923	1	1051849	55	2	8	27	0	0	0	0	1	0	0	1	0	9	0	0	3	6	2	0	0	0	1	1	0	0	192	0	1	1
1703102	7170077923	2	1051849	61	1	8	28	2	15	1	1	1	1	0	1	0	9	40000	40	1	1	2	770	79	37	1	0	6260	40000	192	3100	1	1
1703102	7170077923	3	1051849	101	2	8	5	0	0	0	0	5	2	0	2	1	1	0	0	0	0	2	0	0	0	0	0	0	0	192	0	1	1
