TRACT	PUMA	AFACT	POP	AGE<5	AGE_5_9	AGE_10_14	AGE_15_19	AGE_20_24	AGE_25_29	AGE_30_34	AGE_35_39	AGE_40_44	AGE_45_49	AGE_50_54	AGE_55_59	AGE_60_64	AGE_65_69	AGE_70_74	AGE_75_79	AGE_80_84	AGE_85_+	GEN_MALE	GEN_FEM	RACE_WHT	RACE_BLK	RACE_IND	RACE_ASN	RACE_HAW	RACE_OTH	RACE_TWO	RACE_HSP	HH_COUNT	HHT_OWN_FAM_MAR	HHT_OWN_FAM_OTH	HHT_OWN_MALE_SINGLE	HHT_OWN_MALE_OTHER	HHT_OWN_FEM_SINGLE	HHT_OWN_FEM_OTHER	HHT_RENT_FAM_MAR	HHT_RENT_FAM_OTH	HHT_RENT_MALE_SINGLE	HHT_RENT_MALE_OTHER	HHT_RENT_FEM_SINGLE	HHT_RENT_FEM_OTHER	HHS_1	HHS_2	HHS_3	HHS_4	HHS_5	HHS_6	HHS_7+	IN_CMA
17197881200	1703102	1	4837	516	495	399	388	335	420	370	329	298	265	238	225	177	124	98	80	46	34	2305	2532	650	2837	7	6	0	10	63	1264	1505	393	197	69	14	73	9	173	428	46	30	62	11	250	372	313	262	162	69	77	1
17197881301	1703102	1	3404	367	344	284	272	273	312	289	236	242	190	146	104	103	88	52	43	33	26	1814	1590	176	178	1	1	0	4	14	3030	867	314	96	35	8	26	4	178	137	21	20	20	8	102	156	127	164	137	90	91	1
17197881302	1703102	1	1818	204	153	120	159	162	164	162	132	123	123	90	60	70	36	20	16	8	16	978	840	117	111	3	2	0	0	3	1582	482	162	58	12	3	16	1	87	86	17	18	13	9	58	93	86	95	56	46	48	1
17197881401	1703102	1	3259	299	289	250	191	252	301	266	279	227	182	153	147	114	71	61	51	56	70	1638	1621	1544	243	5	20	0	0	69	1378	1144	380	116	120	24	101	12	107	133	66	19	49	17	336	280	172	142	99	64	51	1
17197881402	1703102	1	3104	209	230	168	169	177	265	251	215	208	204	212	175	143	117	82	96	104	79	1494	1610	2089	239	3	38	1	3	50	681	1260	484	151	134	35	184	18	57	93	28	20	43	13	389	388	204	155	74	30	20	1
17197881500	1703102	1	3284	259	225	206	184	137	284	244	204	197	211	224	157	135	107	94	100	137	179	1575	1709	2363	163	1	38	0	0	31	688	1190	556	162	138	32	140	18	41	48	22	4	15	14	315	378	197	159	87	33	21	1
17197881700	1703102	1	3421	204	226	192	169	165	219	240	208	244	225	341	253	215	149	106	88	87	90	1665	1756	2831	110	3	45	0	8	34	390	1410	693	127	135	41	183	30	45	51	31	14	50	10	399	511	201	168	83	32	16	1
17197881800	1703102	1	4049	425	316	282	292	412	367	374	292	249	260	224	178	142	83	53	37	30	33	2021	2028	1656	487	7	53	1	3	58	1784	1320	395	127	91	22	86	9	148	206	93	31	76	36	346	301	229	184	137	61	62	1
17197881900	1703102	1	3896	574	375	247	248	461	373	269	236	237	204	189	116	105	63	60	56	29	54	1850	2046	677	1657	10	36	1	3	75	1437	1479	133	56	22	7	18	4	164	478	251	47	264	35	555	309	209	175	114	67	50	1
17197882000	1703102	1	3472	286	243	214	281	401	361	315	275	215	183	178	129	143	84	58	48	33	25	1997	1475	536	1462	6	10	1	5	35	1417	962	107	68	11	7	19	4	115	230	175	34	172	20	377	167	111	112	88	58	49	1
